,Nx,Nt,Error
198,5,26,0.03311720262590947
199,5,27,0.03311720273226233
200,5,28,0.03311720283129178
201,5,29,0.033117202923432856
202,5,30,0.033117203009174416
203,5,31,0.03311720308896852
204,5,32,0.03311720316326335
205,5,33,0.03311720323246125
206,5,34,0.033117203296979286
207,5,35,0.03311720335715842
208,5,36,0.03311720341335644
209,5,37,0.03311720346588314
210,5,38,0.033117203515027144
211,5,39,0.03311720356103993
212,5,40,0.03311720360416633
213,5,41,0.033117203644624504
214,5,42,0.03311720368263129
215,5,43,0.03311720371837412
216,5,44,0.03311720375199769
217,5,45,0.03311720378366115
218,5,46,0.03311720381352529
219,5,47,0.03311720384171778
220,5,48,0.033117203868327026
221,5,49,0.03311720389350437
222,5,50,0.03311720391732589
223,5,51,0.03311720393988142
224,5,52,0.033117203961263865
225,5,53,0.03311720398154838
226,5,54,0.03311720400079776
227,5,55,0.03311720401910475
228,5,56,0.03311720403649857
229,5,57,0.03311720405306307
230,5,58,0.033117204068826116
231,5,59,0.03311720408385683
232,6,2,0.2917761220808426
233,6,3,0.12521084708187089
234,6,4,0.07040083009393007
235,6,5,0.034231330807882474
236,6,6,0.029751479640923405
237,6,7,0.022475954975091958
238,6,8,0.023540334124138293
239,6,9,0.02281076581549819
240,6,10,0.022997548061566203
241,6,11,0.022939804771073893
242,6,12,0.022954123093285782
243,6,13,0.022950812978560366
244,6,14,0.02295148815632727
245,6,15,0.022951366379587963
246,6,16,0.02295138554725987
247,6,17,0.022951383029485854
248,6,18,0.02295138338381956
249,6,19,0.02295138341825389
250,6,20,0.022951383482712473
251,6,21,0.02295138354358618
252,6,22,0.02295138360255013
253,6,23,0.02295138365895177
254,6,24,0.022951383712526977
255,6,25,0.02295138376314581
256,6,26,0.02295138381078441
257,6,27,0.022951383855491662
258,6,28,0.022951383897380443
259,6,29,0.02295138393657711
260,6,30,0.022951383973229923
261,6,31,0.0229513840074787
262,6,32,0.022951384039499576
263,6,33,0.022951384069423895
264,6,34,0.022951384097412618
265,6,35,0.022951384123597218
266,6,36,0.022951384148118023
267,6,37,0.02295138417108038
268,6,38,0.022951384192611037
269,6,39,0.022951384212822213
270,6,40,0.0229513842317924
271,6,41,0.02295138424961779
272,6,42,0.02295138426639715
273,6,43,0.022951384282190485
274,6,44,0.022951384297070714
275,6,45,0.02295138431109388
276,6,46,0.02295138432434237
277,6,47,0.022951384336858425
278,6,48,0.02295138434869664
279,6,49,0.02295138435989555
280,6,50,0.022951384370507998
281,6,51,0.02295138438056501
282,6,52,0.022951384390098632
283,6,53,0.022951384399143033
284,6,54,0.0229513844077453
285,6,55,0.02295138441592912
286,6,56,0.02295138442370954
287,6,57,0.022951384431132933
288,6,58,0.022951384438182024
289,6,59,0.022951384444929338
290,7,2,0.2895133345058096
291,7,3,0.13318292120178046
