,1e-15,1e-14,1e-13,1e-12,1e-11,1e-10
175,57.18857,163.37527,497.7052,789.04425,789.3779,789.3779
176,57.326855,163.81468,498.98373,789.0544,789.3779,789.3779
177,57.465145,164.2541,500.26227,789.0645,789.3779,789.3779
178,57.603436,164.69351,501.5408,789.07465,789.3779,789.3779
179,57.741722,165.13292,502.81934,789.0848,789.3779,789.3779
180,57.880013,165.57233,504.09787,789.09485,789.3779,789.3779
181,58.018303,166.01173,505.3764,789.105,789.3779,789.3779
182,58.156593,166.45116,506.65494,789.1151,789.3779,789.3779
183,58.29488,166.89056,507.93347,789.12524,789.3779,789.3779
184,58.433174,167.32997,509.212,789.1354,789.3779,789.3779
185,58.57146,167.76938,510.49054,789.1455,789.3779,789.3779
186,58.70975,168.20879,511.76907,789.15564,789.3779,789.3779
187,58.84804,168.64821,513.0476,789.1658,789.3779,789.3779
188,58.98633,169.08762,514.3261,789.17584,789.3779,789.3779
189,59.12462,169.52702,515.6047,789.186,789.3779,789.3779
190,59.26291,169.96643,516.8832,789.1961,789.3779,789.3779
191,59.4012,170.40585,518.16174,789.20624,789.3779,789.3779
192,59.539486,170.84525,519.4403,789.2164,789.3779,789.3779
193,59.677776,171.28465,520.7188,789.2265,789.3779,789.3779
194,59.816067,171.72408,521.9974,789.23663,789.3779,789.3779
195,59.954357,172.16348,523.2759,789.2467,789.3779,789.3779
196,60.092648,172.60289,524.55444,789.25684,789.3779,789.3779
197,60.230934,173.0423,525.83295,789.26697,789.3779,789.3779
198,60.369225,173.4817,527.11145,789.2771,789.3779,789.3779
199,60.507515,173.92113,528.39,789.28723,789.3779,789.3779
200,60.64567,174.3601,529.66644,789.29724,789.3779,789.3779
201,60.770813,174.75754,530.7336,789.29895,789.3779,789.3779
202,60.895954,175.15497,531.8007,789.30066,789.3779,789.3779
203,61.021095,175.5524,532.8679,789.3023,789.3779,789.3779
204,61.146236,175.94981,533.93506,789.304,789.3779,789.3779
205,61.271374,176.34724,535.0022,789.3057,789.3779,789.3779
206,61.39652,176.74467,536.0694,789.3074,789.3779,789.3779
207,61.521656,177.1421,537.13654,789.3091,789.3779,789.3779
208,61.6468,177.53954,538.2037,789.3107,789.3779,789.3779
209,61.77194,177.93695,539.2708,789.31244,789.3779,789.3779
210,61.89708,178.33438,540.338,789.31415,789.3779,789.3779
211,62.02222,178.73181,541.40515,789.3158,789.3779,789.3779
212,62.14736,179.12923,542.4723,789.3175,789.3779,789.3779
213,62.272503,179.52666,543.5394,789.3192,789.3779,789.3779
214,62.397644,179.92409,544.6066,789.32086,789.3779,789.3779
215,62.522785,180.32152,545.67377,789.3226,789.3779,789.3779
216,62.647926,180.71893,546.7409,789.3243,789.3779,789.3779
217,62.773064,181.11636,547.80804,789.3259,789.3779,789.3779
218,62.89821,181.5138,548.87524,789.32764,789.3779,789.3779
219,63.023346,181.91122,549.9424,789.32935,789.3779,789.3779
220,63.14849,182.30865,551.0095,789.331,789.3779,789.3779
221,63.27363,182.70607,552.0767,789.3327,789.3779,789.3779
222,63.39877,183.1035,553.14386,789.3344,789.3779,789.3779
223,63.52391,183.50093,554.211,789.33606,789.3779,789.3779
224,63.64905,183.89835,555.27814,789.33777,789.3779,789.3779
225,63.774193,184.29578,556.34534,789.3395,789.3779,789.3779
226,63.899334,184.6932,557.4125,789.3411,789.3779,789.3779
227,64.024475,185.09064,558.4796,789.34283,789.3779,789.3779
228,64.14961,185.48805,559.54675,789.34454,789.3779,789.3779
229,64.27476,185.8855,560.61395,789.3462,789.3779,789.3779
230,64.399895,186.28291,561.6811,789.3479,789.3779,789.3779
231,64.52504,186.68034,562.7482,789.34955,789.3779,789.3779
232,64.65018,187.07777,563.8154,789.35126,789.3779,789.3779
233,64.77532,187.47519,564.88257,789.35297,789.3779,789.3779
234,64.90046,187.87262,565.9497,789.3546,789.3779,789.3779
235,65.025604,188.27005,567.01685,789.3563,789.3779,789.3779
236,65.15074,188.66747,568.08405,789.35803,789.3779,789.3779
237,65.27588,189.0649,569.1512,789.3597,789.3779,789.3779
238,65.401024,189.46233,570.2183,789.3614,789.3779,789.3779
239,65.52616,189.85976,571.2855,789.3631,789.3779,789.3779
240,65.651184,190.2568,572.3505,789.36475,789.3779,789.3779
241,65.76634,190.62251,573.2421,789.36505,789.3779,789.3779
242,65.8815,190.98822,574.13367,789.3653,789.3779,789.3779
243,65.99665,191.35393,575.0252,789.3656,789.3779,789.3779
244,66.11181,191.71964,575.9168,789.36584,789.3779,789.3779
245,66.22697,192.08534,576.80835,789.36615,789.3779,789.3779
246,66.342125,192.45107,577.69995,789.36646,789.3779,789.3779
247,66.457275,192.81677,578.5915,789.3667,789.3779,789.3779
248,66.57243,193.18248,579.4831,789.367,789.3779,789.3779
249,66.68759,193.54819,580.37463,789.36725,789.3779,789.3779
250,66.80274,193.9139,581.2662,789.36755,789.3779,789.3779
251,66.9179,194.27962,582.1578,789.3678,789.3779,789.3779
252,67.03306,194.64532,583.0493,789.3681,789.3779,789.3779
253,67.14822,195.01103,583.9409,789.3684,789.3779,789.3779
254,67.26337,195.37674,584.83246,789.36865,789.3779,789.3779
255,67.378525,195.74246,585.72406,789.36896,789.3779,789.3779
256,67.49368,196.10817,586.6156,789.3692,789.3779,789.3779
257,67.60883,196.47388,587.5072,789.3695,789.3779,789.3779
258,67.72399,196.83958,588.39874,789.36975,789.3779,789.3779
259,67.83915,197.20529,589.2903,789.37006,789.3779,789.3779
260,67.95431,197.57101,590.1819,789.37036,789.3779,789.3779
261,68.06946,197.93672,591.0734,789.3706,789.3779,789.3779
262,68.184616,198.30243,591.965,789.3709,789.3779,789.3779
263,68.299774,198.66814,592.85657,789.37115,789.3779,789.3779
264,68.41493,199.03384,593.74817,789.37146,789.3779,789.3779
265,68.53008,199.39957,594.6397,789.3717,789.3779,789.3779
266,68.64524,199.76527,595.53125,789.372,789.3779,789.3779
267,68.7604,200.13098,596.42285,789.3723,789.3779,789.3779
268,68.87556,200.49669,597.3144,789.37256,789.3779,789.3779
269,68.99071,200.8624,598.206,789.37286,789.3779,789.3779
